company	dbo:Company
broadcaster	dbo:Broadcaster
brown dwarf	dbo:BrownDwarf
building	dbo:Building
bullfighter	dbo:BullFighter
bus company	dbo:BusCompany
businessperson	dbo:BusinessPerson
camera	dbo:Camera
liga de fútbol canadiense	dbo:CanadianFootballLeague
canadian football Player	dbo:CanadianFootballPlayer
canadian football Team	dbo:CanadianFootballTeam
canal	dbo:Canal
canoeist	dbo:Canoeist
canton	dbo:Canton
cape	dbo:Cape
Capital	dbo:Capital
Capital of region	dbo:CapitalOfRegion
card game	dbo:CardGame
cardinal	dbo:Cardinal
Cardinal direction	dbo:CardinalDirection
career station	dbo:CareerStation
cartoon	dbo:Cartoon
case	dbo:Case
casino	dbo:Casino
castle	dbo:Castle
cat	dbo:Cat
Caterer	dbo:Caterer
cave	dbo:Cave
celebrity	dbo:Celebrity
celestial body	dbo:CelestialBody
cemetery	dbo:Cemetery
chancellor	dbo:Chancellor
Place in the Music Charts	dbo:ChartsPlacements
cheese	dbo:Cheese
chef	dbo:Chef
chemical compound	dbo:ChemicalCompound
chemical element	dbo:ChemicalElement
chemical substance	dbo:ChemicalSubstance
chess player	dbo:ChessPlayer
Christian Bishop	dbo:ChristianBishop
Christian Doctrine	dbo:ChristianDoctrine
Christian Patriarch	dbo:ChristianPatriarch
church	dbo:Church
city	dbo:City
city district	dbo:CityDistrict
classical music artist	dbo:ClassicalMusicArtist
classical music composition	dbo:ClassicalMusicComposition
cleric	dbo:Cleric
clerical administrative region	dbo:ClericalAdministrativeRegion
clerical order	dbo:ClericalOrder
club moss	dbo:ClubMoss
coach	dbo:Coach
coal pit	dbo:CoalPit
collection of valuables	dbo:CollectionOfValuables
college	dbo:College
college coach	dbo:CollegeCoach
colour	dbo:Colour
comedian	dbo:Comedian
Comedy Group	dbo:ComedyGroup
comic	dbo:Comic
comic strip	dbo:ComicStrip
comics character	dbo:ComicsCharacter
comics creator	dbo:ComicsCreator
Community	dbo:Community
competition	dbo:Competition
Concentration camp	dbo:ConcentrationCamp
congressman	dbo:Congressman
conifer	dbo:Conifer
constellation	dbo:Constellation
contest	dbo:Contest
continent	dbo:Continent
Controlled designation of origin wine	dbo:ControlledDesignationOfOriginWine
convention	dbo:Convention
conveyor system	dbo:ConveyorSystem
country	dbo:Country
country estate	dbo:CountrySeat
crater	dbo:Crater
creek	dbo:Creek
cricket ground	dbo:CricketGround
cricket league	dbo:CricketLeague
cricket team	dbo:CricketTeam
cricketer	dbo:Cricketer
criminal	dbo:Criminal
cross-country skier	dbo:CrossCountrySkier
crustacean	dbo:Crustacean
cultivar (cultivated variety)	dbo:CultivatedVariety
curler	dbo:Curler
curling league	dbo:CurlingLeague
currency	dbo:Currency
cycad	dbo:Cycad
cycling competition	dbo:CyclingCompetition
cycling league	dbo:CyclingLeague
cycling race	dbo:CyclingRace
cycling team	dbo:CyclingTeam
cyclist	dbo:Cyclist
DTM racer	dbo:DTMRacer
dam	dbo:Dam
dancer	dbo:Dancer
darts player	dbo:DartsPlayer
Database	dbo:Database
deanery	dbo:Deanery
death	dbo:Death
decoration	dbo:Decoration
deity	dbo:Deity
demographics	dbo:Demographics
depth	dbo:Depth
deputy	dbo:Deputy
Desert	dbo:Desert
device	dbo:Device
digital camera	dbo:DigitalCamera
dike	dbo:Dike
diocese	dbo:Diocese
diploma	dbo:Diploma
disease	dbo:Disease
disney character	dbo:DisneyCharacter
district	dbo:District
district water board	dbo:DistrictWaterBoard
divorce	dbo:Divorce
document	dbo:Document
Document Type	dbo:DocumentType
dog	dbo:Dog
drama	dbo:Drama
drug	dbo:Drug
earthquake	dbo:Earthquake
economist	dbo:Economist
educational institution	dbo:EducationalInstitution
egyptologist	dbo:Egyptologist
Election	dbo:Election
Election Diagram	dbo:ElectionDiagram
electrical substation	dbo:ElectricalSubstation
embryology	dbo:Embryology
Employer	dbo:Employer
Employers' Organisation	dbo:EmployersOrganisation
engine	dbo:Engine
engineer	dbo:Engineer
entomologist	dbo:Entomologist
enzyme	dbo:Enzyme
escalator	dbo:Escalator
ethnic group	dbo:EthnicGroup
eukaryote	dbo:Eukaryote
Eurovision song contest entry	dbo:EurovisionSongContestEntry
event	dbo:Event
factory	dbo:Factory
family	dbo:Family
farmer	dbo:Farmer
fashion	dbo:Fashion
fashion designer	dbo:FashionDesigner
fencer	dbo:Fencer
fern	dbo:Fern
fictional character	dbo:FictionalCharacter
fiefdom	dbo:Fiefdom
field hockey league	dbo:FieldHockeyLeague
figure skater	dbo:FigureSkater
file	dbo:File
filling station	dbo:FillingStation
movie	dbo:Film
film festival	dbo:FilmFestival
fish	dbo:Fish
flag	dbo:Flag
flowering plant	dbo:FloweringPlant
Food	dbo:Food
football league season	dbo:FootballLeagueSeason
football match	dbo:FootballMatch
forest	dbo:Forest
one-time municipality	dbo:FormerMunicipality
Formula One racer	dbo:FormulaOneRacer
formula one racing	dbo:FormulaOneRacing
formula 1 team	dbo:FormulaOneTeam
fort	dbo:Fort
fungus	dbo:Fungus
Gaelic games player	dbo:GaelicGamesPlayer
galaxy	dbo:Galaxy
game	dbo:Game
garden	dbo:Garden
gate	dbo:Gate
Gated community	dbo:GatedCommunity
gene	dbo:Gene
GeneLocation	dbo:GeneLocation
geological period	dbo:GeologicalPeriod
geopolitical organisation	dbo:GeopoliticalOrganisation
ginkgo	dbo:Ginkgo
given name	dbo:GivenName
glacier	dbo:Glacier
Globular Swarm	dbo:Globularswarm
Gnetophytes	dbo:Gnetophytes
golf course	dbo:GolfCourse
golf league	dbo:GolfLeague
golf player	dbo:GolfPlayer
golf tournament	dbo:GolfTournament
government agency	dbo:GovernmentAgency
cabinet of ministers	dbo:GovernmentCabinet
Government Type	dbo:GovernmentType
governmental administrative region	dbo:GovernmentalAdministrativeRegion
governor	dbo:Governor
Grand Prix	dbo:GrandPrix
grape	dbo:Grape
grave stone or grave monument	dbo:GraveMonument
green alga	dbo:GreenAlga
gridiron football player	dbo:GridironFootballPlayer
gross domestic product	dbo:GrossDomesticProduct
gross domestic product per capita	dbo:GrossDomesticProductPerCapita
group	dbo:Group
guitar	dbo:Guitar
guitarist	dbo:Guitarist
gymnast	dbo:Gymnast
handball league	dbo:HandballLeague
handball player	dbo:HandballPlayer
handball team	dbo:HandballTeam
high diver	dbo:HighDiver
historian	dbo:Historian
historic building	dbo:HistoricBuilding
historic place	dbo:HistoricPlace
ancient area of jurisdiction of a person (feudal) or of a governmental body	dbo:HistoricalAreaOfAuthority
Historical country	dbo:HistoricalCountry
Historical district	dbo:HistoricalDistrict
historical period	dbo:HistoricalPeriod
Historical province	dbo:HistoricalProvince
Historical region	dbo:HistoricalRegion
Historical settlement	dbo:HistoricalSettlement
hockey club	dbo:HockeyClub
hockey team	dbo:HockeyTeam
holiday	dbo:Holiday
hollywood cartoon	dbo:HollywoodCartoon
Hormone	dbo:Hormone
horse	dbo:Horse
horse race	dbo:HorseRace
horse rider	dbo:HorseRider
HorseRiding	dbo:HorseRiding
horse trainer	dbo:HorseTrainer
hospital	dbo:Hospital
host	dbo:Host
hot spring	dbo:HotSpring
hotel	dbo:Hotel
human development index	dbo:HumanDevelopmentIndex
HumanGene	dbo:HumanGene
HumanGeneLocation	dbo:HumanGeneLocation
humorist	dbo:Humorist
ice hockey league	dbo:IceHockeyLeague
ice hockey player	dbo:IceHockeyPlayer
ideology	dbo:Ideology
image	dbo:Image
information appliance	dbo:InformationAppliance
infrastructure	dbo:Infrastructure
inline hockey league	dbo:InlineHockeyLeague
insect	dbo:Insect
Instrument	dbo:Instrument
instrumentalist	dbo:Instrumentalist
Intercommunality	dbo:Intercommunality
international football league event	dbo:InternationalFootballLeagueEvent
international organisation	dbo:InternationalOrganisation
island	dbo:Island
jockey (horse racer)	dbo:Jockey
journalist	dbo:Journalist
judge	dbo:Judge
lacrosse league	dbo:LacrosseLeague
lacrosse player	dbo:LacrossePlayer
lake	dbo:Lake
launch pad	dbo:LaunchPad
law	dbo:Law
law firm	dbo:LawFirm
Lawyer	dbo:Lawyer
Legal Case	dbo:LegalCase
legislature	dbo:Legislature
letter	dbo:Letter
library	dbo:Library
lieutenant	dbo:Lieutenant
life cycle event	dbo:LifeCycleEvent
ligament	dbo:Ligament
light novel	dbo:LightNovel
lighthouse	dbo:Lighthouse
line of fashion	dbo:LineOfFashion
linguist	dbo:Linguist
lipid	dbo:Lipid
list	dbo:List
literary genre	dbo:LiteraryGenre
locality	dbo:Locality
lock	dbo:Lock
locomotive	dbo:Locomotive
lunar crater	dbo:LunarCrater
lymph	dbo:Lymph
magazine	dbo:Magazine
mammal	dbo:Mammal
manga	dbo:Manga
manhua	dbo:Manhua
manhwa	dbo:Manhwa
marriage	dbo:Marriage
martial artist	dbo:MartialArtist
Mathematical concept	dbo:MathematicalConcept
mayor	dbo:Mayor
mean of transportation	dbo:MeanOfTransportation
media	dbo:Media
medician	dbo:Medician
Medicine	dbo:Medicine
meeting	dbo:Meeting
member of parliament	dbo:MemberOfParliament
Member of a Resistance Movement	dbo:MemberResistanceMovement
memorial	dbo:Memorial
subway station	dbo:MetroStation
micro-region	dbo:MicroRegion
military aircraft	dbo:MilitaryAircraft
military conflict	dbo:MilitaryConflict
military person	dbo:MilitaryPerson
military structure	dbo:MilitaryStructure
military unit	dbo:MilitaryUnit
military vehicle	dbo:MilitaryVehicle
Mill	dbo:Mill
mine	dbo:Mine
mineral	dbo:Mineral
mixed martial arts event	dbo:MixedMartialArtsEvent
mixed martial arts league	dbo:MixedMartialArtsLeague
mobile phone	dbo:MobilePhone
model	dbo:Model
mollusca	dbo:Mollusca
monarch	dbo:Monarch
monastery	dbo:Monastery
monument	dbo:Monument
mosque	dbo:Mosque
moss	dbo:Moss
motocycle racer	dbo:MotocycleRacer
motor race	dbo:MotorRace
motorcycle	dbo:Motorcycle
motorcycle racing league	dbo:MotorcycleRacingLeague
motorcycle rider	dbo:MotorcycleRider
motorsport racer	dbo:MotorsportRacer
motorsport season	dbo:MotorsportSeason
mountain	dbo:Mountain
mountain pass	dbo:MountainPass
mountain range	dbo:MountainRange
MouseGene	dbo:MouseGene
MouseGeneLocation	dbo:MouseGeneLocation
Movie director	dbo:MovieDirector
movie genre	dbo:MovieGenre
moving image	dbo:MovingImage
travellator	dbo:MovingWalkway
multi volume publication	dbo:MultiVolumePublication
municipality	dbo:Municipality
murderer	dbo:Murderer
muscle	dbo:Muscle
museum	dbo:Museum
music composer	dbo:MusicComposer
music director	dbo:MusicDirector
music festival	dbo:MusicFestival
music genre	dbo:MusicGenre
musical	dbo:Musical
musical artist	dbo:MusicalArtist
musical work	dbo:MusicalWork
mythological figure	dbo:MythologicalFigure
national collegiate athletic association team season	dbo:NCAATeamSeason
naruto character	dbo:NarutoCharacter
nascar driver	dbo:NascarDriver
National anthem	dbo:NationalAnthem
national collegiate athletic association athlete	dbo:NationalCollegiateAthleticAssociationAthlete
national football league event	dbo:NationalFootballLeagueEvent
national football league season	dbo:NationalFootballLeagueSeason
national soccer club	dbo:NationalSoccerClub
natural event	dbo:NaturalEvent
natural place	dbo:NaturalPlace
natural region	dbo:NaturalRegion
nerve	dbo:Nerve
netball player	dbo:NetballPlayer
newspaper	dbo:Newspaper
Nobel Prize	dbo:NobelPrize
noble	dbo:Noble
Noble family	dbo:NobleFamily
non-profit organisation	dbo:Non-ProfitOrganisation
Nordic Combined	dbo:NordicCombined
novel	dbo:Novel
Nuclear Power plant	dbo:NuclearPowerStation
Ocean	dbo:Ocean
office holder	dbo:OfficeHolder
old territory	dbo:OldTerritory
olympic event	dbo:OlympicEvent
olympic result	dbo:OlympicResult
olympics	dbo:Olympics
on-site mean of transportation	dbo:On-SiteTransportation
Open Swarm	dbo:Openswarm
opera	dbo:Opera
organ	dbo:Organ
organisation	dbo:Organisation
Organisation member	dbo:OrganisationMember
orphan	dbo:Orphan
overseas department	dbo:OverseasDepartment
paintball league	dbo:PaintballLeague
painter	dbo:Painter
Painting	dbo:Painting
parish	dbo:Parish
park	dbo:Park
parliament	dbo:Parliament
penalty shoot-out	dbo:PenaltyShootOut
period of artistic style	dbo:PeriodOfArtisticStyle
periodical literature	dbo:PeriodicalLiterature
person function	dbo:PersonFunction
personal event	dbo:PersonalEvent
philosopher	dbo:Philosopher
Philosophical concept	dbo:PhilosophicalConcept
photographer	dbo:Photographer
planet	dbo:Planet
plant	dbo:Plant
play	dbo:Play
Playwright	dbo:PlayWright
Playboy Playmate	dbo:PlayboyPlaymate
poem	dbo:Poem
poet	dbo:Poet
poker player	dbo:PokerPlayer
Political concept	dbo:PoliticalConcept
political function	dbo:PoliticalFunction
political party	dbo:PoliticalParty
politician	dbo:Politician
politician spouse	dbo:PoliticianSpouse
polo league	dbo:PoloLeague
Polyhedron	dbo:Polyhedron
polysaccharide	dbo:Polysaccharide
pope	dbo:Pope
populated place	dbo:PopulatedPlace
population	dbo:Population
Port	dbo:Port
power station	dbo:PowerStation
prefecture	dbo:Prefecture
prehistorical period	dbo:PrehistoricalPeriod
presenter	dbo:Presenter
president	dbo:President
priest	dbo:Priest
prime minister	dbo:PrimeMinister
prison	dbo:Prison
Producer	dbo:Producer
profession	dbo:Profession
professor	dbo:Professor
programming language	dbo:ProgrammingLanguage
project	dbo:Project
protected area	dbo:ProtectedArea
protein	dbo:Protein
protohistorical period	dbo:ProtohistoricalPeriod
province	dbo:Province
psychologist	dbo:Psychologist
public service	dbo:PublicService
public transit system	dbo:PublicTransitSystem
Pyramid	dbo:Pyramid
Quote	dbo:Quote
race	dbo:Race
race horse	dbo:RaceHorse
race track	dbo:RaceTrack
racecourse	dbo:Racecourse
racing driver	dbo:RacingDriver
radio-controlled racing league	dbo:RadioControlledRacingLeague
radio host	dbo:RadioHost
radio program	dbo:RadioProgram
radio station	dbo:RadioStation
railway line	dbo:RailwayLine
train station	dbo:RailwayStation
railway tunnel	dbo:RailwayTunnel
rally driver	dbo:RallyDriver
Ratio	dbo:Ratio
rebellion	dbo:Rebellion
record label	dbo:RecordLabel
Record Office	dbo:RecordOffice
referee	dbo:Referee
Reference	dbo:Reference
regency	dbo:Regency
region	dbo:Region
Relationship	dbo:Relationship
religious	dbo:Religious
religious building	dbo:ReligiousBuilding
religious organisation	dbo:ReligiousOrganisation
reptile	dbo:Reptile
research project	dbo:ResearchProject
rest area	dbo:RestArea
restaurant	dbo:Restaurant
Resume	dbo:Resume
river	dbo:River
road	dbo:Road
road junction	dbo:RoadJunction
road tunnel	dbo:RoadTunnel
rocket	dbo:Rocket
rocket engine	dbo:RocketEngine
roller coaster	dbo:RollerCoaster
roman emperor	dbo:RomanEmperor
route of transportation	dbo:RouteOfTransportation
route stage	dbo:RouteStop
rower	dbo:Rower
royalty	dbo:Royalty
rugby club	dbo:RugbyClub
rugby league	dbo:RugbyLeague
rugby player	dbo:RugbyPlayer
saint	dbo:Saint
sales	dbo:Sales
samba school	dbo:SambaSchool
Satellite	dbo:Satellite
Scientific concept	dbo:ScientificConcept
scientist	dbo:Scientist
screenwriter	dbo:ScreenWriter
sculptor	dbo:Sculptor
Sculpture	dbo:Sculpture
sea	dbo:Sea
senator	dbo:Senator
serial killer	dbo:SerialKiller
settlement	dbo:Settlement
ship	dbo:Ship
shopping mall	dbo:ShoppingMall
shrine	dbo:Shrine
Singer	dbo:Singer
single	dbo:Single
Site of Special Scientific Interest	dbo:SiteOfSpecialScientificInterest
skater	dbo:Skater
ski area	dbo:SkiArea
ski resort	dbo:SkiResort
ski jumper	dbo:Ski_jumper
skier	dbo:Skier
skyscraper	dbo:Skyscraper
snooker world champion	dbo:SnookerChamp
snooker player	dbo:SnookerPlayer
snooker world ranking	dbo:SnookerWorldRanking
soap character	dbo:SoapCharacter
football	dbo:Soccer
soccer club	dbo:SoccerClub
soccer club season	dbo:SoccerClubSeason
soccer league	dbo:SoccerLeague
soccer league season	dbo:SoccerLeagueSeason
soccer manager	dbo:SoccerManager
soccer player	dbo:SoccerPlayer
soccer tournoment	dbo:SoccerTournament
societal event	dbo:SocietalEvent
softball league	dbo:SoftballLeague
solar eclipse	dbo:SolarEclipse
song	dbo:Song
songwriter	dbo:SongWriter
sound	dbo:Sound
space mission	dbo:SpaceMission
space shuttle	dbo:SpaceShuttle
space station	dbo:SpaceStation
spacecraft	dbo:Spacecraft
species	dbo:Species
speed skater	dbo:SpeedSkater
speedway league	dbo:SpeedwayLeague
speedway rider	dbo:SpeedwayRider
speedway team	dbo:SpeedwayTeam
sport	dbo:Sport
results of a sport competition	dbo:SportCompetitionResult
sport facility	dbo:SportFacility
sports club	dbo:SportsClub
sports event	dbo:SportsEvent
sports league	dbo:SportsLeague
sports manager	dbo:SportsManager
sports season	dbo:SportsSeason
sports team	dbo:SportsTeam
Sports team member	dbo:SportsTeamMember
sports team season	dbo:SportsTeamSeason
square	dbo:Square
squash player	dbo:SquashPlayer
stadium	dbo:Stadium
standard	dbo:Standard
star	dbo:Star
state	dbo:State
Stated Resolution	dbo:StatedResolution
station	dbo:Station
statistic	dbo:Statistic
still image	dbo:StillImage
storm surge	dbo:StormSurge
stream	dbo:Stream
street	dbo:Street
borough	dbo:SubMunicipality
sumo wrestler	dbo:SumoWrestler
Supreme Court of the United States case	dbo:SupremeCourtOfTheUnitedStatesCase
surfer	dbo:Surfer
surname	dbo:Surname
Swarm	dbo:Swarm
swimmer	dbo:Swimmer
synagogue	dbo:Synagogue
System of law	dbo:SystemOfLaw
table tennis player	dbo:TableTennisPlayer
tax	dbo:Tax
taxonomic group	dbo:Taxon
Team member	dbo:TeamMember
team sport	dbo:TeamSport
Television director	dbo:TelevisionDirector
television episode	dbo:TelevisionEpisode
television host	dbo:TelevisionHost
television personality	dbo:TelevisionPersonality
television season	dbo:TelevisionSeason
television show	dbo:TelevisionShow
television station	dbo:TelevisionStation
temple	dbo:Temple
tennis league	dbo:TennisLeague
tennis player	dbo:TennisPlayer
tennis tournament	dbo:TennisTournament
term of office	dbo:TermOfOffice
territory	dbo:Territory
theatre	dbo:Theatre
Theatre director	dbo:TheatreDirector
Theological concept	dbo:TheologicalConcept
time period	dbo:TimePeriod
topical concept	dbo:TopicalConcept
tournament	dbo:Tournament
tower	dbo:Tower
town	dbo:Town
track list	dbo:TrackList
trade union	dbo:TradeUnion
train	dbo:Train
train carriage	dbo:TrainCarriage
streetcar	dbo:Tram
tram station	dbo:TramStation
Treadmill	dbo:Treadmill
treaty	dbo:Treaty
tunnel	dbo:Tunnel
underground journal	dbo:UndergroundJournal
unit of work	dbo:UnitOfWork
university	dbo:University
Unknown	dbo:Unknown
valley	dbo:Valley
vein	dbo:Vein
venue	dbo:Venue
vicar	dbo:Vicar
vice president	dbo:VicePresident
vice prime minister	dbo:VicePrimeMinister
video game	dbo:VideoGame
videogames league	dbo:VideogamesLeague
village	dbo:Village
vodka	dbo:Vodka
voice actor	dbo:VoiceActor
volcano	dbo:Volcano
volleyball coach	dbo:VolleyballCoach
volleyball league	dbo:VolleyballLeague
volleyball player	dbo:VolleyballPlayer
water polo Player	dbo:WaterPoloPlayer
water ride	dbo:WaterRide
Water tower	dbo:WaterTower
Watermill	dbo:Watermill
waterway tunnel	dbo:WaterwayTunnel
weapon	dbo:Weapon
website	dbo:Website
Wind motor	dbo:WindMotor
Windmill	dbo:Windmill
wine	dbo:Wine
wine region	dbo:WineRegion
winery	dbo:Winery
winter sport Player	dbo:WinterSportPlayer
Women's Tennis Association tournament	dbo:WomensTennisAssociationTournament
work	dbo:Work
World Heritage Site	dbo:WorldHeritageSite
wrestler	dbo:Wrestler
wrestling event	dbo:WrestlingEvent
writer	dbo:Writer
written work	dbo:WrittenWork
year	dbo:Year
year in spaceflight	dbo:YearInSpaceflight
zoo	dbo:Zoo
